beat_count_max,beat_count_mean,beat_count_min,beat_count_sd,cond_timing_sd_ms,frac_unstable_beats,gt_detection_prob,nfe,seed_pair_f1,subject,window
11,8.6875,5,1.20315445607008,51.8260311040697,0.2222222222222222,0.8125,1,0.35294117647058826,an0,7594
12,9.25,6,1.3912166872805047,55.79392911545736,0.9090909090909091,0.34375,1,0.1904761904761905,an0,7620
13,9.9375,5,1.6251550794487475,73.10643374687298,1.0,0.40625,1,0.1111111111111111,an0,7708
13,9.40625,2,2.212273316253318,88.20656701477998,0.7333333333333333,0.375,1,0.10818713450292397,an0,7730
12,9.78125,6,1.4532360996377438,75.9923599614259,1.0,0.453125,1,0.125,an0,7790
12,10.09375,4,1.6335075066229565,66.2318913884365,0.9230769230769231,0.53125,1,0.1904761904761905,an0,7830
12,9.65625,6,1.5985754747233853,68.7562133865936,0.8181818181818182,0.4375,1,0.2105263157894737,an0,7840
12,9.75,5,1.524001524002286,79.08950525391212,1.0,0.4375,1,0.125,an0,7914
11,8.875,5,1.3136995286643378,75.93714178578988,0.9,0.484375,1,0.125,an0,7977
13,9.28125,4,2.275172804496964,79.83132306946669,1.0,0.390625,1,0.1111111111111111,an0,7987
12,9.40625,4,1.583368703623039,52.83673831254359,0.4,0.78125,1,0.3157894736842105,an0,8005
13,9.5625,6,1.4577379737113252,75.94534982426684,0.9,0.65625,1,0.17391304347826086,an0,8093
13,8.8125,5,1.6350495701275216,81.93653961956733,0.5555555555555556,0.34375,1,0.13333333333333333,an0,8145
14,10.53125,9,1.2696043325738624,90.54630203658236,0.8181818181818182,0.46875,1,0.10818713450292397,an0,8259
12,9.5625,5,1.758619326484237,84.98002273300656,1.0,0.5,1,0.125,an0,8339
14,10.6875,8,1.4687607240514464,nan,0.75,0.296875,1,0.17391304347826086,an0,8409
13,9.71875,5,1.708316941961751,81.95888011383445,0.9,0.421875,1,0.11764705882352941,an0,8546
12,9.84375,7,1.393750452046795,85.30121110277734,0.8,0.4375,1,0.11111111111111112,an0,8592
12,9.28125,4,1.954884288300758,72.99912890650623,0.9,0.546875,1,0.125,an0,8679
11,8.90625,5,1.2790968335811872,23.772255931331635,0.0,0.90625,1,0.7999999999999999,an0,8887
12,9.90625,6,1.0883362561504661,41.762365354906215,0.4,0.84375,1,0.4000000000000001,an0,8932
10,9.71875,6,0.8884337432408971,23.336115477561002,0.0,0.96875,1,0.9,an0,8959
11,10.1875,4,1.674042817504591,22.14302003020961,0.0,0.90625,1,0.8181818181818182,an0,8982
13,9.4375,5,1.7401798201483698,69.85574319934278,0.6,0.703125,1,0.22222222222222224,an0,9086
12,10.25,8,1.1071614388213236,79.96937880989955,1.0,0.40625,1,0.1111111111111111,an0,9154
11,9.6875,6,1.1198358174592007,40.47109733405502,0.2,0.859375,1,0.47619047619047616,an0,9198
11,8.90625,6,0.9283830897266078,43.2810793830483,0.0,0.875,1,0.47058823529411764,an0,9238
11,9.625,7,0.8327955253822958,19.8941074994895,0.0,0.9375,1,0.9,an0,9563
12,9.53125,3,1.6061248696082735,27.83011114255379,0.3,0.875,1,0.631578947368421,an0,9578
13,10.375,5,1.7367006167610077,55.34620045040919,1.0,0.515625,1,0.23529411764705882,an0,9617
12,9.90625,3,1.973360895985945,60.21287009205749,1.0,0.34375,1,0.13333333333333333,an0,9713
11,9.84375,7,0.7666169923131275,35.35398163716083,0.2,0.84375,1,0.5,an0,9728
12,9.9375,2,2.16924990752341,66.81964330071631,0.9166666666666666,0.46875,1,0.1904761904761905,an0,9757
10,9.28125,7,1.0544643954588142,34.559775187294264,0.1,0.828125,1,0.5263157894736842,an0,9875
11,8.90625,7,0.6890561567076912,18.505604587384898,0.0,0.9375,1,0.8888888888888888,an0,9982
10,8.8125,6,0.7803018439949604,19.668326990133487,0.0,0.9375,1,0.8888888888888888,an0,10095
12,10.03125,7,1.2822453843966262,71.29655632620504,1.0,0.40625,1,0.17028985507246375,an0,10130
11,8.6875,6,1.1198358174592007,27.115972139778002,0.125,0.828125,1,0.5555555555555556,an0,10166
11,9.09375,6,0.9625026183458311,29.709632438241048,0.1111111111111111,0.84375,1,0.631578947368421,an0,10249
