model,B,n_cal,policy,mean_regret,mean_regret_ci,near_optimal_rate,near_optimal_rate_ci,material_rate,mean_heldout_risk,mean_heldout_risk_ci,median_regret,regret_p2.5_p97.5_across_subsets,oracle_recovery,fullval_recovery,fullval_recovery_ci,within_delta_of_fullval,entropy_nats,micro_mean_regret
CD,32,25,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.011002,"[5.241895, 6.79922]",,,,,,,,
CD,32,50,UCB,0.037756,"[0.005716, 0.085879]",0.9,"[0.735, 0.99]",0.025,6.032713,"[5.268589, 6.870482]",0.0,"[0.0, 0.338221]",0.9,0.9,"[0.58, 0.99]",0.9,0.381316,0.03735
CD,32,50,ERM,0.021981,"[0.002188, 0.053157]",0.94,"[0.83, 1.0]",0.01,6.016938,"[5.260884, 6.840653]",0.0,"[0.0, 0.322597]",0.94,0.94,"[0.705, 0.995]",0.94,0.254001,0.021719
CD,32,50,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,5.994957,"[5.249175, 6.80532]",,,,,,,,
CD,32,50,pure_depth,2.1132,"[1.768522, 2.464415]",0.0,"[0.0, 0.0]",1.0,8.108157,"[7.33022, 8.956557]",,,,,,,,
CD,32,50,balanced,0.472162,"[0.299176, 0.656927]",0.0,"[0.0, 0.01]",0.885,6.467119,"[5.746244, 7.242092]",,,,,,,,
CD,32,50,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,5.994957,"[5.249175, 6.80532]",,,,,,,,
CD,32,50,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,5.994957,"[5.249175, 6.80532]",,,,,,,,
CD,32,100,UCB,0.009764,"[0.0, 0.057511]",0.975,"[0.83, 1.0]",0.0,6.012261,"[5.247613, 6.823775]",0.0,"[0.0, 0.009403]",0.975,0.975,"[0.684875, 1.0]",0.975,0.116907,0.009585
CD,32,100,ERM,0.004054,"[0.0, 0.036904]",0.99,"[0.9, 1.0]",0.0,6.006551,"[5.247327, 6.813863]",0.0,"[0.0, 0.0]",0.99,0.99,"[0.809875, 1.0]",0.99,0.056002,0.003998
CD,32,100,pure_width,0.0,"[0.0, 0.000972]",1.0,"[1.0, 1.0]",0.0,6.002497,"[5.245872, 6.803974]",,,,,,,,
CD,32,100,pure_depth,2.123837,"[1.772589, 2.468157]",0.0,"[0.0, 0.0]",1.0,8.126334,"[7.327416, 8.962459]",,,,,,,,
CD,32,100,balanced,0.472567,"[0.299999, 0.655335]",0.0,"[0.0, 0.075125]",0.75,6.475064,"[5.751751, 7.235037]",,,,,,,,
CD,32,100,historical,0.0,"[0.0, 0.000972]",1.0,"[1.0, 1.0]",0.0,6.002497,"[5.245872, 6.803974]",,,,,,,,
CD,32,100,fullval,0.0,"[0.0, 0.000972]",1.0,"[1.0, 1.0]",0.0,6.002497,"[5.245872, 6.803974]",,,,,,,,
CD,32,200,UCB,0.0,"[0.0, 0.04036]",1.0,"[0.915, 1.0]",0.0,5.980228,"[5.251411, 6.823666]",0.0,"[0.0, 0.0]",1.0,1.0,"[0.909875, 1.0]",1.0,-0.0,6.6e-05
CD,32,200,ERM,0.0,"[0.0, 0.021983]",1.0,"[0.965, 1.0]",0.0,5.980228,"[5.251411, 6.822018]",0.0,"[0.0, 0.0]",1.0,1.0,"[0.975, 1.0]",1.0,-0.0,6.6e-05
CD,32,200,pure_width,0.0,"[0.0, 0.012628]",1.0,"[0.995, 1.0]",0.0,5.980228,"[5.251411, 6.821734]",,,,,,,,
CD,32,200,pure_depth,2.061143,"[1.773639, 2.468517]",0.0,"[0.0, 0.0]",1.0,8.041371,"[7.315262, 8.988567]",,,,,,,,
CD,32,200,balanced,0.469746,"[0.306892, 0.651534]",0.01,"[0.0, 0.230125]",0.64,6.449974,"[5.745154, 7.258789]",,,,,,,,
CD,32,200,historical,0.0,"[0.0, 0.012628]",1.0,"[0.995, 1.0]",0.0,5.980228,"[5.251411, 6.821734]",,,,,,,,
CD,32,200,fullval,0.0,"[0.0, 0.012628]",1.0,"[0.995, 1.0]",0.0,5.980228,"[5.251411, 6.821734]",,,,,,,,
CD,16,5,UCB,0.387504,"[0.269458, 0.49409]",0.605,"[0.495, 0.715]",0.395,6.452706,"[5.651337, 7.281545]",0.0,"[0.0, 2.10686]",0.605,0.605,"[0.49, 0.715]",0.605,1.147487,0.38194
CD,16,5,ERM,0.267615,"[0.168719, 0.317083]",0.705,"[0.585, 0.8]",0.295,6.332817,"[5.523598, 7.126888]",0.0,"[0.0, 2.114778]",0.705,0.705,"[0.585, 0.8]",0.705,0.933581,0.263404
CD,16,5,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.065202,"[5.306504, 6.85594]",,,,,,,,
CD,16,5,pure_depth,2.077387,"[1.739634, 2.42662]",0.0,"[0.0, 0.0]",1.0,8.142589,"[7.396862, 8.952321]",,,,,,,,
CD,16,5,balanced,0.943721,"[0.72215, 1.179298]",0.0,"[0.0, 0.0]",1.0,7.008923,"[6.288357, 7.779723]",,,,,,,,
CD,16,5,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.065202,"[5.306504, 6.85594]",,,,,,,,
CD,16,5,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.065202,"[5.306504, 6.85594]",,,,,,,,
CD,16,10,UCB,0.215732,"[0.11746, 0.319944]",0.725,"[0.595, 0.855125]",0.275,6.28045,"[5.461951, 7.127937]",0.0,"[0.0, 1.716201]",0.725,0.725,"[0.595, 0.855]",0.725,0.843114,0.211114
CD,16,10,ERM,0.114525,"[0.064661, 0.170389]",0.825,"[0.7, 0.92]",0.175,6.179243,"[5.402537, 6.995295]",0.0,"[0.0, 0.981314]",0.825,0.825,"[0.7, 0.92]",0.825,0.562997,0.111365
CD,16,10,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.064718,"[5.30487, 6.853434]",,,,,,,,
CD,16,10,pure_depth,2.075432,"[1.738802, 2.424175]",0.0,"[0.0, 0.0]",1.0,8.14015,"[7.398934, 8.952327]",,,,,,,,
CD,16,10,balanced,0.942027,"[0.721705, 1.181499]",0.0,"[0.0, 0.0]",1.0,7.006745,"[6.288456, 7.784119]",,,,,,,,
CD,16,10,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.064718,"[5.30487, 6.853434]",,,,,,,,
CD,16,10,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.064718,"[5.30487, 6.853434]",,,,,,,,
CD,16,25,UCB,0.034739,"[0.01499, 0.131835]",0.95,"[0.735, 0.98]",0.05,6.105084,"[5.348151, 6.954262]",0.0,"[0.0, 0.560027]",0.95,0.95,"[0.735, 0.98]",0.95,0.229058,0.033984
CD,16,25,ERM,0.01418,"[0.004111, 0.064595]",0.975,"[0.85, 0.995]",0.025,6.084525,"[5.327352, 6.894528]",0.0,"[0.0, 0.013933]",0.975,0.975,"[0.85, 0.995]",0.975,0.116907,0.013773
CD,16,25,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.070345,"[5.305806, 6.863292]",,,,,,,,
CD,16,25,pure_depth,2.080501,"[1.736734, 2.427797]",0.0,"[0.0, 0.0]",1.0,8.150846,"[7.399001, 8.953019]",,,,,,,,
CD,16,25,balanced,0.941274,"[0.721186, 1.17949]",0.0,"[0.0, 0.0]",1.0,7.011619,"[6.29201, 7.780064]",,,,,,,,
CD,16,25,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.070345,"[5.305806, 6.863292]",,,,,,,,
