model,B,n_cal,subset,UCB_K,UCB_S,UCB_cal_mean,UCB_cal_ucb,UCB_heldout_risk,UCB_regret,UCB_near_optimal,UCB_heldout_micro_risk,ERM_K,ERM_S,ERM_cal_mean,ERM_cal_ucb,ERM_heldout_risk,ERM_regret,ERM_near_optimal,ERM_heldout_micro_risk,oracle_K,oracle_S,oracle_risk,fullval_heldout_risk,regret_pure_width,regret_pure_depth,regret_balanced,regret_historical,regret_fullval
CD,16,200,89,16,1,6.364443,7.029496,5.403616,0.0,True,5.40516,16,1,6.364443,7.029496,5.403616,0.0,True,5.40516,16,1,5.403616,5.403616,0.0,2.145527,0.874586,0.0,0.0
CD,16,200,90,16,1,6.242807,6.872418,5.676955,0.0,True,5.639312,16,1,6.242807,6.872418,5.676955,0.0,True,5.639312,16,1,5.676955,5.676955,0.0,1.881304,0.777594,0.0,0.0
CD,16,200,91,16,1,5.935972,6.517139,6.366473,0.0,True,6.273677,16,1,5.935972,6.517139,6.366473,0.0,True,6.273677,16,1,6.366473,6.366473,0.0,2.204247,1.084616,0.0,0.0
CD,16,200,92,16,1,5.920155,6.554185,6.402016,0.0,True,6.34698,16,1,5.920155,6.554185,6.402016,0.0,True,6.34698,16,1,6.402016,6.402016,0.0,1.784021,0.842391,0.0,0.0
CD,16,200,93,16,1,6.648121,7.313118,4.766138,0.0,True,4.774147,16,1,6.648121,7.313118,4.766138,0.0,True,4.774147,16,1,4.766138,4.766138,0.0,2.483306,1.256033,0.0,0.0
CD,16,200,94,16,1,6.005346,6.565774,6.210575,0.0,True,6.169177,16,1,6.005346,6.565774,6.210575,0.0,True,6.169177,16,1,6.210575,6.210575,0.0,2.338412,1.051401,0.0,0.0
CD,16,200,95,16,1,6.00804,6.627494,6.204521,0.0,True,6.099781,16,1,6.00804,6.627494,6.204521,0.0,True,6.099781,16,1,6.204521,6.204521,0.0,2.237908,1.16502,0.0,0.0
CD,16,200,96,16,1,6.151064,6.776957,5.88312,0.0,True,5.889757,16,1,6.151064,6.776957,5.88312,0.0,True,5.889757,16,1,5.88312,5.88312,0.0,2.353239,0.847229,0.0,0.0
CD,16,200,97,16,1,5.347545,5.836161,7.68878,0.0,True,7.540746,16,1,5.347545,5.836161,7.68878,0.0,True,7.540746,16,1,7.68878,7.68878,0.0,1.987573,0.832338,0.0,0.0
CD,16,200,98,16,1,6.041587,6.644131,6.129136,0.0,True,5.993753,16,1,6.041587,6.644131,6.129136,0.0,True,5.993753,16,1,6.129136,6.129136,0.0,2.166644,0.854843,0.0,0.0
CD,16,200,99,16,1,6.083486,6.739613,6.034979,0.0,True,6.063624,16,1,6.083486,6.739613,6.034979,0.0,True,6.063624,16,1,6.034979,6.034979,0.0,2.040869,1.06978,0.0,0.0
CD,16,200,100,16,1,5.862496,6.490136,6.531587,0.0,True,6.49823,16,1,5.862496,6.490136,6.531587,0.0,True,6.49823,16,1,6.531587,6.531587,0.0,1.983203,0.808232,0.0,0.0
CD,16,200,101,16,1,5.517743,6.100402,7.306311,0.0,True,7.087374,16,1,5.517743,6.100402,7.306311,0.0,True,7.087374,16,1,7.306311,7.306311,0.0,1.796467,0.634271,0.0,0.0
CD,16,200,102,16,1,5.533039,6.032846,7.271939,0.0,True,7.197511,16,1,5.533039,6.032846,7.271939,0.0,True,7.197511,16,1,7.271939,7.271939,0.0,1.820934,0.702235,0.0,0.0
CD,16,200,103,16,1,6.155682,6.749904,5.872742,0.0,True,5.821472,16,1,6.155682,6.749904,5.872742,0.0,True,5.821472,16,1,5.872742,5.872742,0.0,2.231018,1.17,0.0,0.0
CD,16,200,104,16,1,6.000347,6.602825,6.221809,0.0,True,6.124875,16,1,6.000347,6.602825,6.221809,0.0,True,6.124875,16,1,6.221809,6.221809,0.0,2.234787,1.056863,0.0,0.0
CD,16,200,105,16,1,6.338419,6.980207,5.462098,0.0,True,5.521677,16,1,6.338419,6.980207,5.462098,0.0,True,5.521677,16,1,5.462098,5.462098,0.0,1.900266,0.951583,0.0,0.0
CD,16,200,106,16,1,5.996888,6.5911,6.229581,0.0,True,6.127488,16,1,5.996888,6.5911,6.229581,0.0,True,6.127488,16,1,6.229581,6.229581,0.0,1.491535,0.789914,0.0,0.0
CD,16,200,107,16,1,6.356115,7.020197,5.422331,0.0,True,5.450832,16,1,6.356115,7.020197,5.422331,0.0,True,5.450832,16,1,5.422331,5.422331,0.0,2.282391,1.058309,0.0,0.0
CD,16,200,108,16,1,6.301997,6.931973,5.543943,0.0,True,5.493611,16,1,6.301997,6.931973,5.543943,0.0,True,5.493611,16,1,5.543943,5.543943,0.0,2.138512,0.87712,0.0,0.0
