B,arm,delta_r2,domain,fold,n_perm,null_hi,null_lo,null_mean,r2,setting
128,WHITE,0.004841,QRS,3,100,-0.051683,-0.053596,-0.052728,-0.047887,train_crossfit
128,WHITE,0.010793,HF,3,100,-0.027197,-0.028028,-0.027573,-0.01678,train_crossfit
128,HF,0.001403,FULL,3,100,-0.055363,-0.063966,-0.059657,-0.058254,train_crossfit
128,HF,8.7e-05,QRS,3,100,-0.051914,-0.053771,-0.052778,-0.052691,train_crossfit
128,HF,0.038675,HF,3,100,-0.026875,-0.028099,-0.027545,0.01113,train_crossfit
256,RAW,0.313458,FULL,3,100,-0.046272,-0.074544,-0.060122,0.253336,train_crossfit
256,RAW,0.040633,QRS,3,100,-0.050439,-0.054664,-0.052549,-0.011915,train_crossfit
256,RAW,0.011913,HF,3,100,-0.027289,-0.028344,-0.027686,-0.015773,train_crossfit
256,WHITE,0.007404,FULL,3,100,-0.055442,-0.064592,-0.059969,-0.052565,train_crossfit
256,WHITE,0.005732,QRS,3,100,-0.051561,-0.053334,-0.052476,-0.046744,train_crossfit
256,WHITE,0.012904,HF,3,100,-0.027213,-0.028166,-0.027699,-0.014795,train_crossfit
256,HF,0.003129,FULL,3,100,-0.056744,-0.064604,-0.060437,-0.057308,train_crossfit
256,HF,-2e-05,QRS,3,100,-0.051837,-0.053447,-0.052587,-0.052607,train_crossfit
256,HF,0.046916,HF,3,100,-0.02713,-0.028224,-0.027705,0.019211,train_crossfit
256,RESID,0.390685,FULL,3,100,-0.042377,-0.078228,-0.060278,0.330406,train_crossfit
256,RESID,0.04323,QRS,3,100,-0.049725,-0.054597,-0.052518,-0.009288,train_crossfit
256,RESID,0.012351,HF,3,100,-0.027354,-0.028203,-0.027729,-0.015378,train_crossfit
512,RAW,0.31537,FULL,3,100,-0.044854,-0.070675,-0.058318,0.257052,train_crossfit
512,RAW,0.039926,QRS,3,100,-0.050232,-0.054465,-0.052554,-0.012628,train_crossfit
512,RAW,0.014146,HF,3,100,-0.027011,-0.02791,-0.027461,-0.013315,train_crossfit
512,WHITE,0.000166,FULL,3,100,-0.055049,-0.065312,-0.059285,-0.059119,train_crossfit
512,WHITE,0.005688,QRS,3,100,-0.051799,-0.053965,-0.052697,-0.047009,train_crossfit
512,WHITE,0.014433,HF,3,100,-0.027051,-0.028063,-0.027481,-0.013048,train_crossfit
512,HF,0.002704,FULL,3,100,-0.054215,-0.0638,-0.058907,-0.056202,train_crossfit
512,HF,0.000973,QRS,3,100,-0.051554,-0.053647,-0.052633,-0.05166,train_crossfit
512,HF,0.054394,HF,3,100,-0.026953,-0.028077,-0.027531,0.026864,train_crossfit
