round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
31,6758,0.896667,"[0.0,0.1)",1877,0.050045,1.0,0.0084512,0.0084512,152.0419,32.9555,33.4806,1.6482
31,6758,0.896667,"[0.1,0.3)",2862,0.192083,1.0,0.00643046,0.00643046,211.0441,33.122,32.402,6.2526
31,6758,0.896667,"[0.3,0.5)",1625,0.38937,1.0,0.00538405,0.00538405,288.6633,32.8705,26.2576,10.0042
31,6758,0.896667,"[0.5,0.7)",533,0.575773,1.0,0.00627882,0.00627882,221.7321,32.7531,17.2345,9.8562
31,6758,0.896667,"[0.7,1.0)",53,0.749933,1.0,0.00578363,0.00578363,322.1673,32.8689,16.5557,12.4773
31,6758,0.896667,boundary(r=t),6949,0.0,1.0,0.00828642,0.00828642,144.2216,0.0,0.0,0.0
32,6976,0.893333,"[0.0,0.1)",1811,0.049323,1.0,0.00824127,0.00824127,154.4921,32.8738,33.4804,1.633
32,6976,0.893333,"[0.1,0.3)",2964,0.192388,1.0,0.00653276,0.00653276,206.6394,33.0895,32.1626,6.1753
32,6976,0.893333,"[0.3,0.5)",1632,0.386008,1.0,0.00536782,0.00536782,296.7451,32.9312,26.8758,10.1669
32,6976,0.893333,"[0.5,0.7)",497,0.573987,1.0,0.00617513,0.00617513,211.7406,32.6359,17.2829,9.8511
32,6976,0.893333,"[0.7,1.0)",46,0.746467,1.0,0.00611278,0.00611278,243.2446,32.8139,16.8693,12.5784
32,6976,0.893333,boundary(r=t),6949,0.0,1.0,0.00834618,0.00834618,143.2969,0.0,0.0,0.0
33,7194,0.89,"[0.0,0.1)",1834,0.049627,1.0,0.00823313,0.00823313,152.5107,32.9557,32.7355,1.6017
33,7194,0.89,"[0.1,0.3)",2883,0.19367,1.0,0.00644252,0.00644252,207.8222,33.0266,31.8789,6.1617
33,7194,0.89,"[0.3,0.5)",1629,0.386539,1.0,0.00556901,0.00556901,274.2554,32.9411,25.7483,9.7395
33,7194,0.89,"[0.5,0.7)",538,0.574542,1.0,0.0063019,0.0063019,201.5777,32.5897,16.9556,9.695
33,7194,0.89,"[0.7,1.0)",66,0.757821,1.0,0.0056893,0.0056893,273.0945,32.0378,15.1616,11.552
33,7194,0.89,boundary(r=t),6949,0.0,1.0,0.00827294,0.00827294,144.5648,0.0,0.0,0.0
34,7412,0.886667,"[0.0,0.1)",1789,0.048662,1.0,0.00827072,0.00827072,154.9183,32.8567,33.2693,1.5887
34,7412,0.886667,"[0.1,0.3)",2982,0.191671,1.0,0.00650276,0.00650276,203.0524,33.0331,31.4306,6.0239
34,7412,0.886667,"[0.3,0.5)",1603,0.3873,1.0,0.00544473,0.00544473,277.9594,33.0106,26.0789,9.9285
34,7412,0.886667,"[0.5,0.7)",512,0.57658,1.0,0.00612705,0.00612705,205.9246,32.8101,17.6585,10.1167
34,7412,0.886667,"[0.7,1.0)",64,0.747488,1.0,0.00602882,0.00602882,251.844,32.136,15.6389,11.6772
34,7412,0.886667,boundary(r=t),6949,0.0,1.0,0.00829744,0.00829744,144.3633,0.0,0.0,0.0
35,7630,0.883333,"[0.0,0.1)",1850,0.049484,1.0,0.00837547,0.00837547,150.96,32.9231,33.6352,1.6179
35,7630,0.883333,"[0.1,0.3)",2972,0.193862,1.0,0.00648806,0.00648806,210.9956,33.0707,32.717,6.3816
35,7630,0.883333,"[0.3,0.5)",1530,0.386857,1.0,0.0053408,0.0053408,309.935,32.9107,27.4145,10.4205
35,7630,0.883333,"[0.5,0.7)",534,0.574105,1.0,0.00594768,0.00594768,229.9214,32.6781,18.2177,10.3796
35,7630,0.883333,"[0.7,1.0)",64,0.743082,1.0,0.00596179,0.00596179,225.9141,32.2539,15.8379,11.7641
35,7630,0.883333,boundary(r=t),6949,0.0,1.0,0.00834846,0.00834846,143.1678,0.0,0.0,0.0
36,7848,0.88,"[0.0,0.1)",1847,0.049176,1.0,0.00829759,0.00829759,153.1861,32.911,33.4669,1.623
36,7848,0.88,"[0.1,0.3)",2930,0.194712,1.0,0.00649094,0.00649094,213.7624,33.0482,32.9503,6.4462
36,7848,0.88,"[0.3,0.5)",1593,0.386402,1.0,0.0054951,0.0054951,291.8689,32.9575,26.5851,10.0709
36,7848,0.88,"[0.5,0.7)",523,0.578272,1.0,0.00598976,0.00598976,224.2224,32.7393,17.8476,10.2266
